time;averageAirTemp
"2024-04-06 20:00:00";13.848333333333
"2024-04-06 21:00:00";12.948333333333
"2024-04-06 22:00:00";12.17
"2024-04-06 23:00:00";11.366666666667
"2024-04-07 00:00:00";10.806666666667
"2024-04-07 01:00:00";10.285
"2024-04-07 02:00:00";9.87
"2024-04-07 03:00:00";9.4366666666667
"2024-04-07 04:00:00";9.5666666666667
"2024-04-07 05:00:00";11.546666666667
"2024-04-07 06:00:00";13.603333333333
"2024-04-07 07:00:00";16.9
"2024-04-07 08:00:00";19.191666666667
"2024-04-07 09:00:00";21.718333333333
"2024-04-07 10:00:00";23.178333333333
"2024-04-07 11:00:00";24.173333333333
"2024-04-07 12:00:00";24.82
"2024-04-07 13:00:00";25.255
"2024-04-07 14:00:00";25.538333333333
"2024-04-07 15:00:00";25.565
"2024-04-07 16:00:00";24.913333333333
"2024-04-07 17:00:00";23.431666666667
"2024-04-07 18:00:00";21.576666666667
"2024-04-07 19:00:00";18.926666666667
"2024-04-07 20:00:00";17.236666666667
"2024-04-07 21:00:00";15.848333333333
"2024-04-07 22:00:00";14.706666666667
"2024-04-07 23:00:00";14.005
"2024-04-08 00:00:00";13.181666666667
"2024-04-08 01:00:00";12.828333333333
"2024-04-08 02:00:00";12.315
"2024-04-08 03:00:00";11.683333333333
"2024-04-08 04:00:00";11.656666666667
"2024-04-08 05:00:00";13.186666666667
"2024-04-08 06:00:00";15.896666666667
"2024-04-08 07:00:00";19.455
"2024-04-08 08:00:00";22.27
"2024-04-08 09:00:00";24.25
"2024-04-08 10:00:00";26.235
"2024-04-08 11:00:00";27.19
"2024-04-08 12:00:00";27.906666666667
"2024-04-08 13:00:00";28.323333333333
"2024-04-08 14:00:00";28.615
"2024-04-08 15:00:00";28.238333333333
"2024-04-08 16:00:00";27.165
"2024-04-08 17:00:00";24.601666666667
"2024-04-08 18:00:00";23.088333333333
"2024-04-08 19:00:00";21.85
"2024-04-08 20:00:00";20.835
"2024-04-08 21:00:00";19.485
"2024-04-08 22:00:00";17.47
"2024-04-08 23:00:00";15.49
"2024-04-09 00:00:00";13.753333333333
"2024-04-09 01:00:00";12.62
"2024-04-09 02:00:00";11.873333333333
"2024-04-09 03:00:00";11.655
"2024-04-09 04:00:00";11.366666666667
"2024-04-09 05:00:00";13.188333333333
"2024-04-09 06:00:00";16.715
"2024-04-09 07:00:00";19.916666666667
"2024-04-09 08:00:00";22.465
"2024-04-09 09:00:00";23.99
"2024-04-09 10:00:00";25.353333333333
"2024-04-09 11:00:00";26.245
"2024-04-09 12:00:00";27.371666666667
"2024-04-09 13:00:00";28.603333333333
"2024-04-09 14:00:00";28.265
"2024-04-09 15:00:00";27.526666666667
"2024-04-09 16:00:00";26.885
"2024-04-09 17:00:00";24.718333333333
"2024-04-09 18:00:00";22.961666666667
"2024-04-09 19:00:00";21.448333333333
"2024-04-09 20:00:00";20.065
"2024-04-09 21:00:00";18.535
"2024-04-09 22:00:00";16.448333333333
"2024-04-09 23:00:00";14.941666666667
"2024-04-10 00:00:00";13.948333333333
"2024-04-10 01:00:00";13.355
"2024-04-10 02:00:00";13.46
"2024-04-10 03:00:00";14.143333333333
"2024-04-10 04:00:00";15.421666666667
"2024-04-10 05:00:00";15.74
"2024-04-10 06:00:00";15.548333333333
"2024-04-10 07:00:00";13.966666666667
"2024-04-10 08:00:00";12.47
"2024-04-10 09:00:00";12.713333333333
"2024-04-10 10:00:00";13.115
"2024-04-10 11:00:00";13.393333333333
"2024-04-10 12:00:00";13.558333333333
"2024-04-10 13:00:00";13.468333333333
"2024-04-10 14:00:00";13.221666666667
"2024-04-10 15:00:00";13.113333333333
"2024-04-10 16:00:00";12.823333333333
"2024-04-10 17:00:00";12.583333333333
"2024-04-10 18:00:00";12.39
"2024-04-10 19:00:00";12.041666666667
"2024-04-10 20:00:00";11.61
"2024-04-10 21:00:00";11.353333333333
"2024-04-10 22:00:00";11.23
"2024-04-10 23:00:00";11.106666666667
"2024-04-11 00:00:00";10.971666666667
"2024-04-11 01:00:00";10.703333333333
"2024-04-11 02:00:00";10.441666666667
"2024-04-11 03:00:00";10.176666666667
"2024-04-11 04:00:00";10.253333333333
"2024-04-11 05:00:00";10.695
"2024-04-11 06:00:00";11.75
"2024-04-11 07:00:00";12.093333333333
"2024-04-11 08:00:00";13.11
"2024-04-11 09:00:00";14.176666666667
"2024-04-11 10:00:00";15.001666666667
"2024-04-11 11:00:00";16.091666666667
"2024-04-11 12:00:00";16.928333333333
"2024-04-11 13:00:00";17.296666666667
"2024-04-11 14:00:00";16.991666666667
"2024-04-11 15:00:00";17.556666666667
"2024-04-11 16:00:00";16.736666666667
"2024-04-11 17:00:00";15.526666666667
"2024-04-11 18:00:00";14.368333333333
"2024-04-11 19:00:00";13.07
"2024-04-11 20:00:00";11.576666666667
"2024-04-11 21:00:00";10.363333333333
"2024-04-11 22:00:00";9.5716666666667
"2024-04-11 23:00:00";8.6483333333333
"2024-04-12 00:00:00";7.89
"2024-04-12 01:00:00";7.1483333333333
"2024-04-12 02:00:00";6.7333333333333
"2024-04-12 03:00:00";6.5766666666667
"2024-04-12 04:00:00";6.6516666666667
"2024-04-12 05:00:00";8.3533333333333
"2024-04-12 06:00:00";11.041666666667
"2024-04-12 07:00:00";13.408333333333
"2024-04-12 08:00:00";15.916666666667
"2024-04-12 09:00:00";17.371666666667
